22:15:00.590 -> ESP-ROM:esp32s3-20210327
22:15:00.627 -> Build:Mar 27 2021
22:15:00.627 -> rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
22:15:00.627 -> SPIWP:0xee
22:15:00.627 -> Octal Flash Mode Enabled
22:15:00.627 -> For OPI Flash, Use Default Flash Boot Mode
22:15:00.627 -> mode:SLOW_RD, clock div:1
22:15:00.627 -> load:0x3fce3818,len:0xf88
22:15:00.627 -> load:0x403c9700,len:0x4
22:15:00.627 -> load:0x403c9704,len:0xa14
22:15:00.627 -> load:0x403cc700,len:0x2d64
22:15:00.627 -> entry 0x403c988c
22:15:02.180 -> 1: -56.00, 2: -45.00, 3: -56.00, 4: -55.00
22:15:04.195 -> 1: -56.00, 2: -44.00, 3: -53.00, 4: -58.00
22:15:06.156 -> 1: -53.00, 2: -44.00, 3: -56.00, 4: -52.00
22:15:08.174 -> 1: -56.00, 2: -48.00, 3: -60.00, 4: -53.00
22:15:10.160 -> 1: -59.00, 2: -44.00, 3: -58.00, 4: -54.00
22:15:12.165 -> 1: -59.00, 2: -49.00, 3: -48.00, 4: -57.00
22:15:14.196 -> 1: -53.00, 2: -45.00, 3: -58.00, 4: -55.00
22:15:16.166 -> 1: -55.00, 2: -43.00, 3: -47.00, 4: -51.00
22:15:18.175 -> 1: -53.00, 2: -43.00, 3: -59.00, 4: -51.00
22:15:20.171 -> 1: -49.00, 2: -48.00, 3: -59.00, 4: -57.00
22:15:22.172 -> 1: -51.00, 2: -47.00, 3: -59.00, 4: -57.00
22:15:24.211 -> 1: -51.00, 2: -48.00, 3: -60.00, 4: -57.00
22:15:26.189 -> 1: -49.00, 2: -49.00, 3: -45.00, 4: -59.00
22:15:28.181 -> 1: -49.00, 2: -46.00, 3: -46.00, 4: -55.00
22:15:30.205 -> 1: -49.00, 2: -47.00, 3: -54.00, 4: -53.00
22:15:32.222 -> 1: -49.00, 2: -48.00, 3: -47.00, 4: -55.00
22:15:34.184 -> 1: -48.00, 2: -48.00, 3: -53.00, 4: -54.00
22:15:36.228 -> 1: -48.00, 2: -47.00, 3: -53.00, 4: -55.00
22:15:38.189 -> 1: -48.00, 2: -49.00, 3: -46.00, 4: -55.00
22:15:40.190 -> 1: -49.00, 2: -47.00, 3: -53.00, 4: -54.00
22:15:42.194 -> 1: -49.00, 2: -47.00, 3: -46.00, 4: -56.00
22:15:44.232 -> 1: -47.00, 2: -48.00, 3: -45.00, 4: -58.00
22:15:46.233 -> 1: -47.00, 2: -48.00, 3: -55.00, 4: -58.00
22:15:48.199 -> 1: -48.00, 2: -48.00, 3: -54.00, 4: -59.00
22:15:50.202 -> 1: -53.00, 2: -45.00, 3: -55.00, 4: -53.00
22:15:52.222 -> 1: -61.00, 2: -43.00, 3: -48.00, 4: -48.00
22:15:54.230 -> 1: -43.00, 2: -45.00, 3: -54.00, 4: -49.00
22:15:56.235 -> 1: -48.00, 2: -42.00, 3: -51.00, 4: -46.00
22:15:58.210 -> 1: -49.00, 2: -60.00, 3: -46.00, 4: -52.00
22:16:00.245 -> 1: -56.00, 2: -61.00, 3: -49.00, 4: -49.00
22:16:02.249 -> 1: -47.00, 2: -47.00, 3: -51.00, 4: -49.00
22:16:04.246 -> 1: -47.00, 2: -58.00, 3: -57.00, 4: -49.00
22:16:06.237 -> 1: -46.00, 2: -47.00, 3: -56.00, 4: -50.00
22:16:08.256 -> 1: -49.00, 2: -47.00, 3: -50.00, 4: -46.00
22:16:10.258 -> 1: -50.00, 2: -49.00, 3: -49.00, 4: -47.00
22:16:12.262 -> 1: -57.00, 2: -57.00, 3: -44.00, 4: -59.00
22:16:14.261 -> 1: -60.00, 2: -44.00, 3: -42.00, 4: -47.00
22:16:16.250 -> 1: -51.00, 2: -50.00, 3: -56.00, 4: -55.00
22:16:18.253 -> 1: -52.00, 2: -45.00, 3: -56.00, 4: -60.00
22:16:20.258 -> 1: -55.00, 2: -44.00, 3: -58.00, 4: -45.00
22:16:22.280 -> 1: -51.00, 2: -45.00, 3: -52.00, 4: -52.00
22:16:24.269 -> 1: -47.00, 2: -43.00, 3: -64.00, 4: -51.00
22:16:26.292 -> 1: -46.00, 2: -46.00, 3: -52.00, 4: -50.00
22:16:28.265 -> 1: -47.00, 2: -43.00, 3: -78.00, 4: -50.00
22:16:30.273 -> 1: -47.00, 2: -43.00, 3: -52.00, 4: -51.00
22:16:32.292 -> 1: -47.00, 2: -57.00, 3: -50.00, 4: -51.00
22:16:34.246 -> 1: -47.00, 2: -43.00, 3: -71.00, 4: -51.00
22:16:36.249 -> 1: -47.00, 2: -58.00, 3: -51.00, 4: -53.00
22:16:38.296 -> 1: -47.00, 2: -43.00, 3: -77.00, 4: -53.00
22:16:40.275 -> 1: -46.00, 2: -58.00, 3: -50.00, 4: -54.00
22:16:42.279 -> 1: -47.00, 2: -43.00, 3: -74.00, 4: -53.00
22:16:44.295 -> 1: -47.00, 2: -43.00, 3: -68.00, 4: -52.00
22:16:46.259 -> 1: -48.00, 2: -44.00, 3: -54.00, 4: -56.00
22:16:48.304 -> 1: -48.00, 2: -43.00, 3: -69.00, 4: -56.00
22:16:50.288 -> 1: -48.00, 2: -44.00, 3: -52.00, 4: -56.00
22:16:52.265 -> 1: -50.00, 2: -44.00, 3: -55.00, 4: -49.00
22:16:54.274 -> 1: -52.00, 2: -44.00, 3: -50.00, 4: -56.00
22:16:56.269 -> 1: -49.00, 2: -54.00, 3: -46.00, 4: -63.00
22:16:58.290 -> 1: -58.00, 2: -59.00, 3: -47.00, 4: -60.00
22:17:00.275 -> 1: -42.00, 2: -42.00, 3: -44.00, 4: -56.00
22:17:02.303 -> 1: -58.00, 2: -46.00, 3: -46.00, 4: -51.00
22:17:04.306 -> 1: -42.00, 2: -46.00, 3: -47.00, 4: -49.00
22:17:06.300 -> 1: -41.00, 2: -47.00, 3: -56.00, 4: -60.00
22:17:08.291 -> 1: -41.00, 2: -49.00, 3: -49.00, 4: -61.00
22:17:10.310 -> 1: -41.00, 2: -46.00, 3: -49.00, 4: -59.00
22:17:12.343 -> 1: -41.00, 2: -48.00, 3: -50.00, 4: -60.00
22:17:14.289 -> 1: -41.00, 2: -48.00, 3: -50.00, 4: -59.00
22:17:16.334 -> 1: -42.00, 2: -47.00, 3: -57.00, 4: -58.00
22:17:18.332 -> 1: -42.00, 2: -47.00, 3: -57.00, 4: -58.00
22:17:20.296 -> 1: -42.00, 2: -47.00, 3: -50.00, 4: -58.00
22:17:22.340 -> 1: -42.00, 2: -47.00, 3: -49.00, 4: -58.00
22:17:24.341 -> 1: -42.00, 2: -47.00, 3: -49.00, 4: -58.00
22:17:26.333 -> 1: -40.00, 2: -47.00, 3: -49.00, 4: -59.00
22:17:28.348 -> 1: -41.00, 2: -49.00, 3: -57.00, 4: -63.00
22:17:30.307 -> 1: -41.00, 2: -51.00, 3: -50.00, 4: -67.00
22:17:32.331 -> 1: -42.00, 2: -47.00, 3: -48.00, 4: -56.00
22:17:34.342 -> 1: -50.00, 2: -47.00, 3: -48.00, 4: -54.00
22:17:36.361 -> 1: -38.00, 2: -45.00, 3: -49.00, 4: -55.00
22:17:38.348 -> 1: -62.00, 2: -46.00, 3: -52.00, 4: -51.00
22:17:40.317 -> 1: -53.00, 2: -48.00, 3: -50.00, 4: -49.00
22:17:42.319 -> 1: -47.00, 2: -42.00, 3: -53.00, 4: -51.00
22:17:44.346 -> 1: -49.00, 2: -39.00, 3: -65.00, 4: -51.00
22:17:46.323 -> 1: -57.00, 2: -40.00, 3: -56.00, 4: -52.00
