Column2;Column3;Column4;Column5
3.43;3.52;3.34;3.36
3.42;3.56;3.37;3.40
3.43;3.56;3.41;3.32
3.35;3.56;3.41;3.40
3.41;3.52;3.48;3.40
3.41;3.58;3.44;3.37
3.43;3.56;3.41;3.36
3.46;3.56;3.46;3.48
3.44;3.54;3.44;3.44
3.49;3.52;3.44;3.48
3.40;3.54;3.41;3.40
3.43;3.52;3.37;3.44
3.47;3.56;3.48;3.44
3.44;3.52;3.39;3.40
3.43;3.50;3.38;3.36
3.41;3.50;3.41;3.44
3.36;3.48;3.39;3.28
3.41;3.50;3.41;3.40
3.41;3.52;3.40;3.32
3.39;3.50;3.36;3.32
3.43;3.54;3.45;3.44
3.43;3.50;3.34;3.36
3.35;3.56;3.34;3.40
3.41;3.58;3.45;3.44
3.47;3.54;3.42;3.55
3.44;3.58;3.46;3.52
3.45;3.46;3.38;3.43
3.39;3.56;3.38;3.36
3.42;3.50;3.39;3.40
3.45;3.52;3.39;3.39
3.43;3.50;3.38;3.36
3.43;3.54;3.36;3.40
3.43;3.52;3.42;3.40
3.41;3.54;3.39;3.47
3.45;3.52;3.38;3.40
3.41;3.48;3.34;3.43
3.46;3.52;3.39;3.44
3.42;3.50;3.42;3.32
3.43;3.56;3.40;3.36
3.48;3.54;3.42;3.43
3.46;3.46;3.36;3.51
3.34;3.55;3.30;3.39
3.39;3.57;3.37;3.43
3.40;3.50;3.40;3.47
3.41;3.50;3.35;3.43
3.39;3.52;3.35;3.43
3.41;3.57;3.36;3.55
3.42;3.56;3.34;3.43
3.38;3.56;3.36;3.47
3.44;3.57;3.34;3.47
3.38;3.65;3.38;3.47
3.44;3.57;3.35;3.47
3.35;3.57;3.36;3.51
3.38;3.57;3.38;3.47
3.42;3.57;3.36;3.51
3.41;3.65;3.35;3.35
3.44;3.56;3.36;3.40
3.34;3.53;3.31;3.43
3.40;3.54;3.38;3.47
3.39;3.56;3.42;3.40
3.42;3.57;3.40;3.40
3.38;3.55;3.37;3.43
3.41;3.61;3.33;3.43
3.38;3.57;3.39;3.43
3.35;3.59;3.32;3.35
3.36;3.59;3.35;3.39
3.40;3.53;3.32;3.35
3.43;3.59;3.33;3.47
3.40;3.55;3.28;3.43
3.42;3.57;3.38;3.39
3.40;3.56;3.38;3.47
3.41;3.48;3.35;3.50
3.47;3.48;3.33;3.43
3.43;3.46;3.37;3.43
3.45;3.48;3.36;3.47
3.45;3.50;3.40;3.55
3.42;3.54;3.38;3.47
3.45;3.48;3.35;3.43
3.35;3.48;3.37;3.50
3.26;3.52;3.35;3.43
3.30;3.48;3.32;3.43
3.35;3.50;3.33;3.47
3.33;3.52;3.38;3.55
3.34;3.52;3.39;3.62
3.35;3.53;3.65;3.69
3.30;3.55;3.35;3.95
3.36;3.63;3.61;4.10
3.36;3.54;3.34;3.28
3.39;3.53;3.41;3.20
3.39;3.61;3.38;3.36
3.38;3.61;3.33;3.77
3.43;3.42;3.39;3.43
3.69;3.70;3.68;3.43
3.87;4.13;2.88;3.39
3.91;4.64;2.41;3.73
3.96;5.07;1.87;3.84
4.13;5.32;1.61;4.22
4.11;5.61;1.52;3.91
4.20;5.48;1.59;3.65
4.07;5.48;1.54;3.73
4.17;5.60;1.50;3.80
4.22;5.37;1.53;3.62
4.13;5.62;1.57;3.77
4.24;5.49;1.53;3.77
4.21;5.46;1.57;3.69
4.21;5.60;1.48;3.80
4.20;5.52;1.57;3.77
4.22;5.56;1.51;3.77
4.21;5.52;1.61;3.77
4.06;5.48;1.48;3.76
4.41;5.54;1.52;3.73
4.27;5.49;1.54;3.73
4.15;5.59;1.47;3.68
4.07;5.56;1.52;3.69
4.23;5.58;1.53;3.73
4.19;5.59;1.56;3.68
4.24;5.62;1.68;3.77
4.07;5.67;1.64;3.77
4.12;5.52;1.55;3.77
4.07;5.67;1.63;3.69
4.09;5.69;1.57;3.69
4.07;5.63;1.57;3.65
4.16;5.63;1.54;3.80
4.23;5.48;1.52;3.73
4.09;5.71;1.52;3.69
4.15;6.09;1.60;3.88
4.15;5.52;1.54;3.76
4.14;5.60;1.59;3.80
4.17;5.50;1.53;3.92
4.01;5.45;1.57;3.95
3.79;5.22;1.61;4.03
3.92;5.32;2.43;3.77
3.59;5.11;2.02;4.06
3.29;4.90;2.32;4.03
2.84;4.49;2.74;4.33
2.42;4.62;3.19;4.55
2.38;4.49;3.44;4.55
2.39;4.43;3.16;4.63
2.49;4.64;3.08;4.66
2.58;4.49;3.23;4.51
2.09;4.28;3.34;5.26
1.49;4.85;3.66;5.38
1.54;4.55;3.89;6.06
1.50;4.47;3.84;5.75
1.49;4.28;3.83;6.50
1.46;4.94;3.79;5.67
1.51;4.47;3.86;5.68
1.52;5.01;3.83;5.68
1.64;4.28;3.76;7.14
1.67;4.47;3.83;7.18
1.51;4.32;3.84;6.54
1.50;4.60;3.81;7.10
1.51;4.58;3.84;7.10
1.55;4.58;3.81;5.45
1.47;4.27;3.68;6.10
1.47;4.29;3.68;5.95
1.47;4.33;3.69;5.95
1.47;4.27;3.71;5.95
1.50;4.34;3.69;5.99
1.47;4.25;3.68;5.87
1.45;4.32;3.70;5.95
1.46;4.31;3.70;5.95
1.47;4.31;3.75;5.99
1.44;4.29;3.74;5.95
1.46;4.23;3.66;5.91
1.47;4.23;3.72;6.02
1.46;4.17;3.68;5.91
1.47;4.32;3.68;6.02
1.49;4.31;3.70;5.91
1.44;4.10;3.68;7.11
1.52;4.21;3.73;5.91
1.61;4.21;3.73;5.99
1.55;4.31;3.76;5.87
1.53;4.23;3.73;5.69
1.50;4.25;3.71;6.09
1.52;4.29;3.69;6.78
1.49;4.23;3.72;6.28
1.50;4.19;3.78;5.80
1.66;4.06;3.79;5.57
1.93;3.87;3.96;5.08
2.22;3.61;4.16;4.83
2.56;3.16;4.30;4.48
2.86;2.84;4.44;4.29
3.00;2.69;4.54;4.15
3.33;2.39;4.86;4.00
3.97;1.70;5.04;3.62
3.98;1.77;5.14;3.66
4.01;1.78;5.17;3.78
3.99;1.72;5.14;3.73
3.98;1.75;5.13;3.70
3.98;1.77;5.14;3.74
3.98;1.75;5.13;3.73
3.98;1.74;5.08;3.74
4.01;1.71;5.13;3.69
3.96;1.75;5.13;3.70
3.97;1.77;5.13;3.85
3.96;1.77;5.11;3.77
3.96;1.73;5.04;3.69
4.12;1.70;5.21;3.65
4.11;1.85;5.14;3.66
4.07;1.71;5.10;3.65
4.04;1.62;5.12;3.58
4.07;1.83;5.23;3.69
4.05;1.79;5.48;3.61
4.10;1.87;5.24;3.92
4.20;1.81;5.16;3.69
4.06;1.72;5.31;3.70
4.10;1.88;5.17;3.35
4.13;2.03;4.87;3.17
4.34;2.52;4.93;2.94
4.66;2.65;4.83;2.87
4.69;2.93;4.64;2.49
4.67;3.04;4.46;2.26
4.85;3.31;4.36;2.08
4.91;3.59;4.51;1.97
4.99;3.57;4.33;1.74
5.27;3.97;4.51;1.70
5.27;4.02;4.49;1.82
5.24;4.06;4.33;2.12
5.27;4.15;4.26;1.32
5.27;4.11;4.71;1.70
5.93;4.15;4.43;1.70
5.62;4.12;4.38;1.82
5.74;4.08;4.58;1.77
5.27;4.13;4.58;1.66
5.24;4.10;4.74;1.89
5.29;4.11;4.44;1.81
5.37;4.04;4.38;1.82
5.40;4.12;4.48;1.85
5.29;4.10;5.38;1.77
5.33;4.08;4.03;1.96
5.31;4.12;4.49;1.97
5.49;4.25;4.36;1.93
5.50;4.06;4.64;1.93
5.35;4.08;4.35;1.64
